species_key,scientific_name,domain,lineage_group,phylo_group,n_proteins,n_structures,B,budget_prior,median_eta,mean_eta,log10_median_eta,q01,q05,q25,q50,q75,q95,q99,fraction_positive_eta
9euro1,Cladophialophora carrionii,eukaryota,fungi,25,10651.0,11170.0,,1.5,0.0496361155333181,1.1752553040040628,-1.3042022132420996,0.0152437066326395,0.0198209729673521,0.0308762169680111,0.0496361155333181,0.1002602049113677,1.913364605691337,29.7,0.951366068913717
9euro2,Fonsecaea pedrosoi,eukaryota,fungi,26,12250.0,12509.0,,1.5,0.0450684074040955,1.0074633671197015,-1.3461277884529566,0.0149682393552462,0.019663165501094,0.0290116345276039,0.0450684074040955,0.081464760742426,0.9140950069348128,27.0,0.9706938775510204
9noca1,Nocardia brasiliensis,bacteria,other,2,8316.0,8398.0,,0.0,,,,,,,,,,,0.0
9pezi1,Madurella mycetomatis,eukaryota,fungi,24,9396.0,9561.0,,1.5,0.0500351460157198,0.8953201072998646,-1.3007248284917627,0.0149326256834514,0.019829792459332,0.0316275684364195,0.0500351460157198,0.096940835397173,1.125,25.91099999999997,0.9730736483610046
ajecg,Histoplasma capsulatum,eukaryota,fungi,27,7918.0,9199.0,,1.5,0.0557209274546903,1.192520084300454,-1.2539816635132919,0.0155814024196222,0.0206538290779375,0.0338157421684671,0.0557209274546903,0.1167664892813812,2.47739312363441,29.61899999999987,0.9358423844405153
arath,Arabidopsis thaliana,eukaryota,plants,30,26739.0,27402.0,,18.0,0.7680424124957246,18.88925309069958,-0.11461479689001078,0.2047597031719372,0.2737508049448055,0.4545515439748141,0.7680424124957246,1.761539716196379,41.85,453.4559999999969,0.9351509031751375
bruma,Brugia malayi,eukaryota,metazoa,34,10536.0,10972.0,,17.0,0.7815903614457831,18.328094125359,-0.1070208049657425,0.1922242168743791,0.2716349986742846,0.4795766667013306,0.7815903614457831,1.7786672140120414,34.50906593406583,400.00999999999567,0.9011958997722096
caeel,Caenorhabditis elegans,eukaryota,metazoa,35,19226.0,19700.0,,17.0,0.7080675422138837,16.498873019126417,-0.1499253131976597,0.1953183093239159,0.2771299381247025,0.4608433734939759,0.7080675422138837,1.4184576485461442,24.262135922330096,438.0171428571407,0.9071569749297825
camje,Campylobacter jejuni,bacteria,other,3,1615.0,1620.0,,0.0,,,,,,,,,,,0.0
canal,Candida albicans,eukaryota,fungi,18,5877.0,5973.0,,1.2,0.0423945981060036,0.6739247026411548,-1.3726894774216984,0.0122084008169106,0.0162910450192671,0.0265993444414169,0.0423945981060036,0.0890767445198085,1.0739058350100537,20.52,0.9654585672962396
danre,Danio rerio,eukaryota,metazoa,43,26186.0,26290.0,,26.0,1.1001121020590898,26.75913800943464,0.041436942271914176,0.2958608337875934,0.4227180721600534,0.7328715046366161,1.1001121020590898,2.3322711258614612,26.547049689440964,633.034090909082,0.9711296112426487
