null_type,N_perm,seed,statistic_name,observed_value,null_mean,null_std,empirical_p_value,interpretation
Null 1: species-label remapping,2000,42,variance of species median log10_eta,0.477315,0.42162109098874545,0.01666161159500216,0.0004997501249375312,Empirical p for null species-median variance being at least as large as observed. Small p suggests observed cross-species dispersion is not explained by random B–I reassignment.
Null 1: species-label remapping,2000,42,Spearman rho to observed ordering,1.0,0.16023004032258065,0.17328070714356422,0.0004997501249375312,Empirical p for null Spearman rho being at least as high as the observed reference (rho=1). Higher null rho means closer recovery of the observed species ordering.
Null 1: species-label remapping,2000,42,between-lineage variance,0.462639,0.07047450239901888,0.05390977626519377,0.0004997501249375312,Empirical p for null between-lineage variance being at least as large as observed. Small p suggests observed lineage separation is not explained by random B–I reassignment.
Null 2: protein-level B shuffle,2000,42,variance of species median log10_eta,0.477315,0.014713522010402625,0.0003643781340552528,0.0004997501249375312,Empirical p for null species-median variance being at least as large as observed. Small p suggests observed cross-species dispersion is not explained by random B–I reassignment.
Null 2: protein-level B shuffle,2000,42,Spearman rho to observed ordering,1.0,0.7085883426539199,0.011275002623451585,0.0004997501249375312,Empirical p for null Spearman rho being at least as high as the observed reference (rho=1). Higher null rho means closer recovery of the observed species ordering.
Null 2: protein-level B shuffle,2000,42,between-lineage variance,0.462639,0.011067421046952472,0.00034268767283875335,0.0004997501249375312,Empirical p for null between-lineage variance being at least as large as observed. Small p suggests observed lineage separation is not explained by random B–I reassignment.
