species_key,n_positive_eta,p01,p05,p25,p50,p75,p95,p99
9euro1,10133,0.015243706632639535,0.01982097296735218,0.0308762169680111,0.0496361155333181,0.1002602049113677,1.913364605691337,29.7
9euro2,11891,0.014968239355246231,0.01966316550109405,0.029011634527603948,0.0450684074040955,0.08146476074242605,0.9140950069348127,27.0
9pezi1,9143,0.014932625683451495,0.01982979245933202,0.031627568436419506,0.0500351460157198,0.096940835397173,1.125,25.910999999999966
ajecg,7410,0.015581402419622284,0.020653829077937527,0.0338157421684671,0.05572092745469035,0.11676648928138125,2.47739312363441,29.61899999999987
arath,25005,0.20475970317193726,0.2737508049448055,0.4545515439748141,0.7680424124957246,1.761539716196379,41.85,453.4559999999969
bruma,9495,0.19222421687437916,0.27163499867428464,0.4795766667013306,0.7815903614457831,1.7786672140120414,34.50906593406583,400.00999999999567
caeel,17441,0.1953183093239159,0.2771299381247025,0.4608433734939759,0.7080675422138837,1.4184576485461442,24.262135922330096,438.01714285714075
canal,5674,0.012208400816910643,0.016291045019267137,0.026599344441416952,0.04239459810600365,0.08907674451980853,1.0739058350100537,20.52
danre,25430,0.2958608337875934,0.4227180721600534,0.7328715046366161,1.1001121020590898,2.3322711258614612,26.547049689440964,633.034090909082
dicdi,11037,0.04006303755550563,0.053910844777649805,0.0924993707525799,0.1517984901564119,0.3183139534883721,4.952125984251957,90.3
drame,9589,0.20233338003810175,0.29309140871078415,0.5323359684509488,0.9145739768486304,2.091482649842271,36.76943877551028,435.83815384615633
drome,12429,0.25096283170102807,0.3594525432232479,0.5890993781728786,1.0284679609697214,2.5636126791141987,72.0,676.8
human,19019,0.3563710209181805,0.5072007006954092,0.8902196551418321,1.3502060886542773,2.9945784666659114,52.19809523809513,814.2719999999972
leiin,7349,0.05135408061519361,0.06843379068358786,0.1161900352576658,0.1905154639175257,0.3935716628402755,8.977358490566006,160.55999999999858
maize,32602,0.2069482701978525,0.2796116026201811,0.48964567979353013,0.9130404561765995,2.491086730333604,73.6339572192512,496.8
mouse,20361,0.3411129099550489,0.4804290343003985,0.8417966705057062,1.213707758210376,2.488062327217894,46.6822429906542,780.9945652174139
oncvo,9460,0.19591427690122576,0.27818270449751903,0.4888852935289193,0.810554089533346,1.9620010034457334,62.23854545454518,428.0656666666666
orysj,29883,0.2150759725225272,0.2847056274074435,0.4923786970134377,0.8648208469055375,2.350542968825577,116.3076923076923,496.8
parba,7257,0.015516086514784972,0.02057588260836276,0.0339867396944364,0.0577969174977334,0.1401136363636363,4.323478260869548,37.18285714285688
plaf7,4723,0.04912299487846204,0.07908678004573796,0.15011602207941338,0.2851916160238125,0.6063670662663903,8.44615384615379,158.4
rat,20684,0.3423858670349721,0.48477634804714814,0.8630398709602185,1.2585615956433793,2.8106269553575802,56.8182525641598,825.5099999999948
schma,8716,0.1719888476020003,0.24981446704039034,0.4276185956851507,0.7161392227193069,1.6074275864635525,26.742025862068964,386.07000000000374
schpo,4881,0.009724341721682739,0.013068110758148,0.0215942933999423,0.0348795988758303,0.0698450026723677,0.9818181818181818,17.346857142857036
soybn,49618,0.20700352874753675,0.27557978276844786,0.47961982166506906,0.849704826649529,2.1348088181512557,56.7,496.8
spos1,8254,0.013969740255691832,0.018637892440586685,0.029167559383262102,0.0456104935417361,0.0885915416699174,1.1362800802139021,27.211500000000115
strer,14043,0.1942484873933786,0.26430919334091985,0.44502850327819155,0.6802748585286985,1.328200237861545,12.576710888743989,306.0
tritr,8695,0.20195990133752736,0.27970788576542865,0.4699393010013302,0.7744937949052907,1.6315883334397023,14.11812152133577,256.2239999999896
tryb2,7355,0.05580235897837878,0.07535587703759333,0.11845091509242214,0.1938408404086919,0.40137823733765,14.182352941176312,150.0
trycc,16049,0.05864469019326075,0.08083746321708885,0.1282931823188668,0.2112914131169709,0.4751131221719457,15.701298701298654,183.0
wucba,10399,0.22364959459544723,0.3290687135979041,0.6010877668224228,1.0912554958475815,2.7938439069734,112.2,510.0
yeast,5584,0.0005296893856878611,0.000691388407866645,0.001146891599762925,0.00184018789349675,0.0038834166019664253,0.0628145277577501,0.977550000000001
